pmid,title,abstract,year,month,day
35182880,Safety and humoral response rate of inactivated and mRNA vaccines against SARS-CoV-2 in patients with Multiple Sclerosis.,"Safety and effectiveness outcomes in Multiple Sclerosis (MS) patients receiving different disease-modifying therapies (DMT) and different types of vaccines against SARS-CoV-2 are limited. Growing evidence coming mainly from Israel, Europe and North America using mRNA and adenoviral vector vaccines has been published. To assess the safety and humoral response of inactivated virus and mRNA vaccines against SARS-CoV-2 in patients with MS. Ongoing, multicentric, prospective, observational study perf",2022,2,19
35181932,EVALUATION OF ANTIBODY RESPONSE AFTER TWO DOSES OF THE SINOVAC VACCINE AND THE POTENTIAL NEED FOR BOOSTER DOSES IN CANCER PATIENTS.,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is more severe in some specific patient groups, such as cancer patients with a mortality rate of 26.5%. The main way of protection is vaccination. In this study, we aimed to evaluate the antibody responses of our cancer patients who received 2 doses of the inactivated COVID-19 vaccine manufactured by Sinovac Life Sciences (Beijing, China). Patients over the age of 18, who had not been suspected or PCR-confirmed COVID-19 positive, who r",2022,2,19
35176770,Reduced serological response to COVID-19 vaccines in patients with IBD is further diminished by TNF inhibitor therapy; Early results of the VARIATION study (VAriability in Response in IBD Against SARS-COV-2 ImmunisatiON).,"Evidence suggests patients with inflammatory bowel disease (IBD) receiving TNF-antagonists have attenuated response to vaccination against COVID-19. We sought to determine the impact of IBD and various medications for treatment of IBD on antibody responses to vaccination against COVID-19. Patients with IBD (n=270) and healthy controls (HC, n=116) were recruited prospectively and quantitative antibody responses assessed following COVID-19 vaccination. The impact of IBD and medications for treatme",2022,2,17
35176326,"COVID-19 in dialysis: clinical impact, immune response, prevention and treatment.","The SARS-CoV-2 pandemic has profound adverse effects on the dialysis population. Patients requiring dialysis are at increased risk of SARS-CoV-2 infection and mortality, and many have experienced psychological distress, as well as delayed or suboptimal care. COVID-19 survivors have prolonged viral shedding, but generally develop a robust and long-lasting humoral immune response that correlates with initial disease severity. However, protection against reinfection is incomplete. A growing body of",2022,2,17
35176008,"Safety Monitoring of COVID-19 Vaccine Booster Doses Among Adults - United States, September 22, 2021-February 6, 2022.","During September 22, 2021-February 6, 2022, approximately 82.6 million U.S. residents aged =18 years received a COVID-19 vaccine booster dose.* The Food and Drug Administration (FDA) has authorized a booster dose of either the same product administered for the primary series (homologous) or a booster dose that differs from the product administered for the primary series (heterologous). These booster authorizations apply to all three COVID-19 vaccines used in the United States (1-3).<sup>?/sup> ",2022,2,17
35176007,"Waning 2-Dose and 3-Dose Effectiveness of mRNA Vaccines Against COVID-19-Associated Emergency Department and Urgent Care Encounters and Hospitalizations Among Adults During Periods of Delta and Omicron Variant Predominance - VISION Network, 10 States, August 2021-January 2022.","CDC recommends that all persons aged =12 years receive a booster dose of COVID-19 mRNA vaccine =5 months after completion of a primary mRNA vaccination series and that immunocompromised persons receive a third primary dose.* Waning of vaccine protection after 2 doses of mRNA vaccine has been observed during the period of the SARS-CoV-2 B.1.617.2 (Delta) variant predominance<sup>?/sup> (1-5), but little is known about durability of protection after 3 doses during periods of Delta or SARS-CoV-2 B",2022,2,17
35173736,Healthcare Workers in South Korea Maintain a SARS-CoV-2 Antibody Response Six Months After Receiving a Second Dose of the BNT162b2 mRNA Vaccine.,"Effective vaccines against coronavirus disease 2019 (COVID-19) are available worldwide; however, the longevity of vaccine effectiveness is not known. We performed a prospective observational study to assess the antibody response of healthcare workers against severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) after BNT162b2 mRNA COVID-19 vaccination. SARS-CoV-2 neutralizing antibody (nAb) and spike (S) protein-IgG (S-IgG) antibody titers were examined in participants who received two do",2022,2,19
35173108,More effective vaccines and oral antivirals: Keys for the battle against Omicron.,"With the rapid roll out of vaccination programs and extraordinary non-pharmaceutical interventions (NPIs) by the government, China has maintained a ""dynamic zero-COVID-19"" policy over the last two years. However, the global pandemic and immune evasion of Omicron variant poses a huge challenge to China. Currently, about 87.69% of the Chinese population has been vaccinated, most with inactivated vaccines. Although seroepidemiological data on the vaccinated are lacking, published data suggested tha",2022,2,17
35171998,The effect of gestational age at BNT162b2 mRNA vaccination on maternal and neonatal SARS-CoV-2 antibody levels.,"COVID-19 during pregnancy and early infancy can result in severe disease. Evaluating the effect of gestational age at the time of SARS-CoV-2 vaccination on maternal antibody levels and transplacental antibody transfer has important implications for maternal care and vaccination strategies. Maternal and cord blood sera were collected from mother/newborn dyads (n=402), following term delivery after antenatal two-dose SARS-CoV-2 BNT162b2 mRNA vaccination. SARS-CoV-2 spike protein (S) and receptor b",2022,2,16
35171373,Six-month humoral response to BNT162b2 mRNA COVID-19 vaccine in people with multiple sclerosis treated with natalizumab.,"Few studies investigated the immune response to SARS-CoV-2 vaccine in patients with multiple sclerosis (pwMS) treated with natalizumab (NTZ) and found a short-term efficient humoral response; however, there are no studies assessing the levels of SARS-CoV-2 IgG antibodies in pwMS treated with NTZ over time. Humoral immune response to BNT162b2 mRNA COVID-19 vaccine was assessed in a group of 26 pwMS on NTZ up to 6 months after a full COVID-19 vaccination cycle and compared it with 43 age- and sex-",2022,2,19
35169017,mRNA COVID-19 vaccine booster fosters B- and T-cell responses in immunocompromised patients.,"SARS-CoV-2 vaccination has proven effective in inducing an immune response in healthy individuals and is progressively us allowing to overcome the pandemic. Recent evidence has shown that response to vaccination in some vulnerable patients may be diminished, and it has been proposed a booster dose. We tested the kinetic of development of serum antibodies to the SARS-CoV-2 Spike protein, their neutralizing capacity, the CD4 and CD8 IFN-<U+03B3> T-cell response in 328 subjects, including 131 immunocompro",2022,2,18
35165656,Short-Term Safety of Booster Immunization With BNT162b2 mRNA COVID-19 Vaccine in Healthcare Workers.,This study demonstrated a favorable short-term safety profile after a third dose of the BNT162b2 vaccine among healthcare workers (HCWs). There were more frequent local reactions and less systemic reactions compared to the second dose. The HCWs who reported reactions had higher prebooster titer of anti-S1 antibodies compared to those who reported no reactions.,2022,2,16
